taxon_id	species_name	source_classification	provisional_transition_group	AlphaFold_usable_markers	ESMFold_usable_markers	reported_host_groups	confirmatory_test_status
F87326	Amanita brunnescens	ectomycorrhizal	Amanita_single_origin	0	24	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F1004511	Amanita polypyramis	ectomycorrhizal	Amanita_single_origin	0	28	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F41956	Amanita muscaria	ectomycorrhizal	Amanita_single_origin	7	26	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F933333	Amanita inopinata	asymbiotic	Amanita_single_origin	0	26	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F235537	Amanita thiersii	asymbiotic	Amanita_single_origin	8	0	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F29883	Laccaria bicolor	ectomycorrhizal	Laccaria_transition_review_pending	8	0	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F48563	Suillus bovinus	ectomycorrhizal	Suillus_transition_review_pending	0	27	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48565	Suillus brevipes	ectomycorrhizal	Suillus_transition_review_pending	0	28	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F1904413	Suillus clintonianus	ectomycorrhizal	Suillus_transition_review_pending	0	26	Larix	pending_taxonomy_phylogeny_and_replicated_transition_review
F1912939	Suillus fuscotomentosus	ectomycorrhizal	Suillus_transition_review_pending	8	0	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48578	Suillus paluster	ectomycorrhizal	Suillus_transition_review_pending	0	26	Larix	pending_taxonomy_phylogeny_and_replicated_transition_review
F116603	Suillus plorans	ectomycorrhizal	Suillus_transition_review_pending	8	0	Pinus_subgenus_Strobus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48586	Suillus subalutaceus	ectomycorrhizal	Suillus_transition_review_pending	0	27	Pinus_subgenus_Pinus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48587	Suillus subaureus	ectomycorrhizal	Suillus_transition_review_pending	7	0	Pinus_subgenus_Strobus;Larix;Quercus	pending_taxonomy_phylogeny_and_replicated_transition_review
F48593	Suillus weaverae	ectomycorrhizal	Suillus_transition_review_pending	0	28	unknown	pending_taxonomy_phylogeny_and_replicated_transition_review
F89243	Laccaria amethystina	ectomycorrhizal	Laccaria_transition_review_pending	6	5	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F80663	Piloderma croceum	ectomycorrhizal	Piloderma_transition_review_pending	6	0	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F5570	Cenococcum geophilum	ectomycorrhizal	Cenococcum_transition_review_pending	1	28	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F39416	Tuber melanosporum	ectomycorrhizal	Tuber_transition_review_pending	115	0	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F574774	Glonium stellatum	saprotrophic	Cenococcum_transition_review_pending	118	0	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
F741139	Lepidopterella palustris	saprotrophic	Cenococcum_transition_review_pending	122	0	not_curated	pending_taxonomy_phylogeny_and_replicated_transition_review
