taxon_id	species_name	aligned_candidate_entries	BRF1_detected_entries	BRF1_not_detected_entries	both_evidence_classes_present	selected_focal_entries	selected_focal_classes	curated_hybrid_taxon
F1004511	Amanita polypyramis	2	1	1	True	0		False
F1005962	Ogataea parapolymorpha	2	1	1	True	1	BRF1_detected	False
F1006475	Circinaria calcarea	2	0	2	False	1	BRF1_not_detected	False
F100910	Rhodosporidiobolus nylandii	2	1	1	True	1	BRF1_detected	False
F101028	Fusarium pseudograminearum	2	1	1	True	1	BRF1_detected	False
F101097	Entomortierella chlamydospora	2	1	1	True	1	BRF1_detected	False
F101098	Gamsiella multidivaricata	2	1	1	True	1	BRF1_detected	False
F101201	Trichoderma asperellum	2	1	1	True	1	BRF1_detected	False
F1031713	Tilletia maclaganii	2	1	1	True	1	BRF1_detected	False
F103449	Vavraia culicis	1	0	1	False	0		False
F1042133	Fusarium musae	2	1	1	True	1	BRF1_detected	False
F1042397	Schaereria dolodes	2	1	1	True	1	BRF1_detected	False
F104341	Rhodonia placenta	2	1	1	True	1	BRF1_detected	False
F104355	Gloeophyllum trabeum	2	1	1	True	1	BRF1_detected	False
F104408	Naganishia liquefaciens	2	1	1	True	1	BRF1_detected	False
F104669	Cryptococcus amylolentus	2	1	1	True	0		False
F1048519	Viridothelium virens	2	1	1	True	1	BRF1_detected	False
F1048829	Paracoccidioides lutzii	2	1	1	True	1	BRF1_detected	False
F1048955	Tothia fuscella	2	1	1	True	1	BRF1_detected	False
F1052096	Cladosporium halotolerans	2	1	1	True	1	BRF1_detected	False
F1055551	Tritirachium sp. CBS 265.96	2	1	1	True	1	BRF1_detected	False
F105984	Apiotrichum porosum	2	1	1	True	1	BRF1_detected	False
F106004	Leucosporidium creatinivorum	2	1	1	True	1	BRF1_detected	False
F1069201	Aspergillus luchuensis	2	1	1	True	1	BRF1_detected	False
F1080349	Saccharomyces eubayanus	2	1	1	True	1	BRF1_detected	False
F1081669	Hepatospora eriocheir	2	1	1	True	1	BRF1_detected	False
F1093897	Phialemonium atrogriseum	2	1	1	True	1	BRF1_detected	False
F1093900	Thyridium curvatum	2	1	1	True	1	BRF1_detected	False
F1095194	Colletotrichum karsti	1	1	0	False	1	BRF1_detected	False
F109760	Spizellomyces punctatus	2	1	1	True	1	BRF1_detected	False
F109876	Catenaria anguillulae	2	0	2	False	0		False
F109889	Lobulomyces angularis	2	1	1	True	1	BRF1_detected	False
F109899	Serendipita vermifera	2	1	1	True	1	BRF1_detected	False
F109932	Entophlyctis luteolus	2	1	1	True	1	BRF1_detected	False
F1099800	Saitoella coloradoensis	2	1	1	True	1	BRF1_detected	False
F110093	Polychytrium aggregatum	2	1	1	True	1	BRF1_detected	False
F1116844	Thelocarpon impressellum	2	1	1	True	1	BRF1_detected	False
F1117311	Funneliformis geosporum	2	0	2	False	0		False
F112072	Naohidea sebacea	2	1	1	True	1	BRF1_detected	False
F1123529	Gonapodya prolifera	1	0	1	False	0		False
F112417	Gautieria morchelliformis	2	1	1	True	1	BRF1_detected	False
F1125753	Limtongia smithiae	2	1	1	True	1	BRF1_detected	False
F1130053	Cirrosporium novae-zelandiae	2	1	1	True	1	BRF1_not_detected	False
F113071	Ramaria rubella	2	1	1	True	1	BRF1_detected	False
F1141098	Pseudomassariella vexata	2	1	1	True	1	BRF1_detected	False
F114524	Saccharomyces kudriavzevii	2	1	1	True	1	BRF1_detected	False
F114525	Saccharomyces mikatae	2	1	1	True	1	BRF1_detected	False
F1145299	Brigantiaea leucoxantha	2	0	2	False	1	BRF1_not_detected	False
F1145321	Letrouitia subvulpina	1	0	1	False	0		False
F116603	Suillus plorans	1	0	1	False	0		False
F116794	Heterodermia speciosa	2	1	1	True	1	BRF1_detected	False
F116821	Physcia stellaris	2	1	1	True	1	BRF1_detected	False
F116982	Xanthoria calcicola	2	1	1	True	1	BRF1_detected	False
F117179	Tilletia walkeri	2	1	1	True	1	BRF1_detected	False
F117187	Fusarium verticillioides	2	1	1	True	1	BRF1_detected	False
F1174673	Morchella importuna	4	1	3	True	1	BRF1_detected	False
F1176130	Aulographum hederae	2	1	1	True	1	BRF1_detected	False
F1176355	Hamiltosporidium tvaerminnensis	1	0	1	False	0		False
F120017	Ustilago hordei	2	1	1	True	1	BRF1_detected	False
F1209916	Colletotrichum costaricense	2	1	1	True	1	BRF1_detected	False
F1209934	Colletotrichum tamarilloi	2	1	1	True	1	BRF1_detected	False
F1214568	Diaporthe amygdali	2	1	1	True	1	BRF1_detected	False
F121624	Phyllosticta capitalensis	2	1	1	True	1	BRF1_detected	False
F1217826	Xylona heveae	2	1	1	True	1	BRF1_detected	False
F1220207	Aspergillus puulaauensis	2	1	1	True	1	BRF1_detected	False
F122368	Cercospora beticola	2	1	1	True	1	BRF1_detected	False
F1230402	Basidioascus undulatus	2	1	1	True	1	BRF1_detected	False
F1243177	Amoeboaphelidium protococcarum	4	2	2	True	0		False
F1246581	Paramicrosporidium saccamoebae	2	1	1	True	1	BRF1_detected	False
F1269715	Thecaphora frezii	2	1	1	True	1	BRF1_detected	False
F1276059	Polystigma amygdalinum	2	1	1	True	1	BRF1_detected	False
F1280837	Meira miltonrushii	2	1	1	True	1	BRF1_detected	False
F1286916	Piptocephalis tieghemiana	2	1	1	True	1	BRF1_detected	False
F129515	Trapelia coarctata	2	1	1	True	1	BRF1_detected	False
F1300064	Nucleospora cyclopteri	2	1	1	True	1	BRF1_detected	False
F1314805	Vararia minispora	2	1	1	True	1	BRF1_detected	False
F1323573	Meredithblackwellia eburnea	2	1	1	True	1	BRF1_detected	False
F1328300	Fusarium keratoplasticum	2	1	1	True	1	BRF1_detected	False
F13290	Tilletia caries	2	1	1	True	1	BRF1_detected	False
F13291	Tilletia controversa	2	1	1	True	1	BRF1_detected	False
F1331295	Auricularia subglabra	3	1	2	True	1	BRF1_not_detected	False
F133377	Smittium angustum	2	0	2	False	0		False
F133385	Smittium simulii	2	1	1	True	1	BRF1_not_detected	False
F1341166	Eremomyces bilateralis	2	1	1	True	1	BRF1_detected	False
F1343610	Actinomortierella ambigua	2	1	1	True	1	BRF1_detected	False
F1343614	Mortierella claussenii	2	1	1	True	1	BRF1_detected	False
F1348612	Diversispora epigaea	4	1	3	True	1	BRF1_detected	False
F13502	Brettanomyces nanus	2	1	1	True	1	BRF1_detected	False
F135208	Hericium alpestre	1	0	1	False	1	BRF1_not_detected	False
F135589	Coniferiporia weirii	2	1	1	True	1	BRF1_detected	False
F136370	Lasallia pustulata	2	1	1	True	1	BRF1_detected	False
F139363	Hydnum rufescens	2	1	1	True	1	BRF1_detected	False
F1396493	Fimicolochytrium jonesii	2	1	1	True	1	BRF1_detected	False
F1397036	Lambiella insularis	2	1	1	True	1	BRF1_detected	False
F1419009	Clathrus columnatus	2	1	1	True	1	BRF1_detected	False
F1424756	Naganishia vaughanmartiniae	2	1	1	True	1	BRF1_detected	False
F143232	Vanrija pseudolonga	2	1	1	True	1	BRF1_detected	False
F1440133	Modicella reniformis	3	1	2	True	1	BRF1_detected	False
F144530	Ambispora gerdemannii	2	1	1	True	1	BRF1_detected	False
F144538	Paraglomus brasilianum	2	1	1	True	1	BRF1_detected	False
F144539	Paraglomus occultum	1	0	1	False	1	BRF1_not_detected	False
F144679	Ambispora leptoticha	1	1	0	False	1	BRF1_detected	False
F1453789	Toensbergia leucococca	2	1	1	True	1	BRF1_detected	False
F1453791	Pycnora praestabilis	2	1	1	True	1	BRF1_detected	False
F145971	Colletotrichum lupini	2	1	1	True	1	BRF1_detected	False
F1463510	Parajaminaea phylloscopi	2	1	1	True	1	BRF1_detected	False
F147570	Myriangium duriaei	2	1	1	True	1	BRF1_detected	False
F147573	Piedraia hortae	3	1	2	True	1	BRF1_detected	False
F148304	Magnaporthiopsis poae	2	1	1	True	1	BRF1_detected	False
F148305	Pyricularia grisea	1	1	0	False	1	BRF1_detected	False
F148313	Discula destructiva	2	1	1	True	1	BRF1_detected	False
F1498855	Amoeboaphelidium occidentale	2	1	1	True	1	BRF1_detected	False
F1500003	Paraphysoderma sedebokerense	2	1	1	True	1	BRF1_detected	False
F1504668	Rhizodiscina lignyota	2	1	1	True	1	BRF1_detected	False
F1506992	Thozetella sp. PMI_491	2	1	1	True	1	BRF1_detected	False
F1507870	Cryoendolithus antarcticus	4	2	2	True	1	BRF1_detected	False
F1507873	Rachicladosporium monterosium	2	1	1	True	1	BRF1_detected	False
F150792	Hysterangium stoloniferum	2	1	1	True	1	BRF1_detected	False
F1520584	Dispira parvispora	1	0	1	False	0		False
F1522189	Ceraceosorus guamensis	2	1	1	True	1	BRF1_detected	False
F152956	Russula decolorans	2	1	1	True	1	BRF1_detected	False
F1540922	Wallemia hederae	2	1	1	True	1	BRF1_detected	False
F1542792	Coniocarpon cinnabarinum	2	1	1	True	1	BRF1_not_detected	False
F1555241	Caulochytrium protostelioides	2	1	1	True	1	BRF1_detected	False
F156515	Tulasnella calospora	2	1	1	True	1	BRF1_detected	False
F1569628	Jaminaea rosea	1	0	1	False	0		False
F157183	Tilletia laevis	2	1	1	True	1	BRF1_detected	False
F158046	Phaeomoniella chlamydospora	1	0	1	False	0		False
F1590129	Xylographa bjoerkii	2	1	1	True	1	BRF1_detected	False
F1604274	Cladochytrium tenue	1	1	0	False	1	BRF1_detected	False
F162425	Aspergillus nidulans	2	1	1	True	1	BRF1_detected	False
F164576	Chaenotheca gracillima	2	1	1	True	1	BRF1_detected	False
F164912	Astathelohania contejeani	2	1	1	True	1	BRF1_detected	False
F1658444	Neoarthrinium moseri	2	1	1	True	1	BRF1_detected	False
F1670608	Glutinoglossum americanum	2	1	1	True	1	BRF1_detected	False
F1671311	Colletotrichum abscissum	2	1	1	True	1	BRF1_detected	False
F1673888	Violaceomyces palustris	2	1	1	True	1	BRF1_detected	False
F1682393	Microdochium trichocladiopsis	2	1	1	True	1	BRF1_detected	False
F1684307	Microstroma glucosiphilum	1	0	1	False	0		False
F1690604	Lithohypha guttulata	1	0	1	False	0		False
F1690608	Saxophila tyrrhenica	2	1	1	True	1	BRF1_detected	False
F169141	Pseudocyphellaria aurata	2	1	1	True	1	BRF1_detected	False
F170000	Phakopsora pachyrhizi	3	2	1	True	0		False
F170446	Ceratobasidium sp. AG-Ba	4	2	2	True	0		False
F1708541	Wallemia mellicola	2	1	1	True	1	BRF1_detected	False
F1708542	Wallemia canadensis	2	1	1	True	1	BRF1_detected	False
F173216	Trichoderma aggressivum	2	1	1	True	1	BRF1_detected	False
F1738374	Trichoderma camerunense	2	1	1	True	1	BRF1_detected	False
F174425	Lichina confinis	2	1	1	True	1	BRF1_detected	False
F174680	Glugoides intestinalis	2	1	1	True	1	BRF1_detected	False
F174688	Gurleya vavrai	1	0	1	False	0		False
F1750568	Cantharellus anzutake	2	1	1	True	1	BRF1_detected	False
F1754190	Neocallimastix californiae	3	2	1	True	0		False
F1754191	Piromyces finnis	2	1	1	True	1	BRF1_detected	False
F1754192	Anaeromyces robustus	2	1	1	True	1	BRF1_detected	False
F1759441	Athelia psychrophila	1	0	1	False	0		False
F177197	Coniochaeta ligniaria	2	1	1	True	1	BRF1_detected	False
F177199	Coniochaeta pulveracea	2	1	1	True	1	BRF1_detected	False
F1774096	Dinochytrium kinnereticum	2	1	1	True	1	BRF1_detected	False
F1806994	Synchytrium microbalum	2	1	1	True	1	BRF1_detected	False
F1810926	Aspergillus stella-maris	2	1	1	True	1	BRF1_not_detected	False
F1810928	Aspergillus undulatus	2	1	1	True	1	BRF1_not_detected	False
F181123	Austropuccinia psidii	2	1	1	True	1	BRF1_detected	False
F1814901	Dactylella cylindrospora	2	1	1	True	1	BRF1_detected	False
F182096	Aspergillus chevalieri	2	1	1	True	1	BRF1_detected	False
F1825666	Phyllachora maydis	2	1	1	True	1	BRF1_detected	False
F183962	Sporobolomyces salmoneus	2	1	1	True	1	BRF1_detected	False
F1851185	Syncephalis plumigaleata	2	1	1	True	1	BRF1_detected	False
F1851187	Syncephalis fuscata	2	1	1	True	1	BRF1_detected	False
F1858805	Dacryopinax primogenitus	2	1	1	True	1	BRF1_detected	False
F1859096	Cryptococcus deuterogattii	2	1	1	True	1	BRF1_detected	False
F1859121	Cryptococcus tetragattii	2	1	1	True	1	BRF1_detected	False
F1859122	Cryptococcus decagattii	2	1	1	True	1	BRF1_detected	False
F1882483	Testicularia cyperi	2	1	1	True	1	BRF1_detected	False
F1890679	Cryptotrichosporon argae	2	1	1	True	1	BRF1_detected	False
F1897645	Haplosporangium bisporale	1	0	1	False	0		False
F1904413	Suillus clintonianus	2	1	1	True	1	BRF1_detected	False
F1907219	Piptocephalis cylindrospora	1	1	0	False	1	BRF1_detected	False
F1912936	Suillus discolor	2	1	1	True	1	BRF1_detected	False
F1912939	Suillus fuscotomentosus	2	1	1	True	1	BRF1_detected	False
F1938712	Atractiella rhizophila	1	1	0	False	1	BRF1_detected	False
F1938954	Bifiguratus adelaidae	1	1	0	False	1	BRF1_detected	False
F1940652	Gomphillus americanus	2	1	1	True	1	BRF1_detected	False
F195108	Fusarium falciforme	2	1	1	True	1	BRF1_detected	False
F199306	Coccidioides posadasii	2	1	1	True	1	BRF1_detected	False
F2019550	Ceratocystis lukuohia	2	1	1	True	1	BRF1_detected	False
F2020955	Sanchytrium tribonematis	2	0	2	False	1	BRF1_not_detected	False
F2020962	Malassezia vespertilionis	2	1	1	True	1	BRF1_detected	False
F2024903	Zalaria obscura	1	0	1	False	1	BRF1_not_detected	False
F202697	Jaapia argillacea	2	1	1	True	1	BRF1_detected	False
F202698	Punctularia strigosozonata	1	1	0	False	1	BRF1_detected	False
F2034170	Trichoderma breve	2	1	1	True	1	BRF1_detected	False
F203533	Classicula fluitans	2	1	1	True	1	BRF1_detected	False
F2035830	Berkeleyomyces rouxiae	2	1	1	True	1	BRF1_detected	False
F203908	Melampsora laricis-populina	2	1	1	True	1	BRF1_detected	False
F2082308	Sphaceloma murrayae	2	1	1	True	1	BRF1_detected	False
F208348	Puccinia triticina	3	1	2	True	1	BRF1_detected	False
F208960	Fomitiporia mediterranea	2	1	1	True	1	BRF1_detected	False
F209136	Lepraria neglecta	2	1	1	True	1	BRF1_detected	False
F209281	Thelotrema lepadinum	2	1	1	True	1	BRF1_detected	False
F2109901	Amoeboradix gromovi	2	1	1	True	1	BRF1_detected	False
F215250	Acaromyces ingoldii	1	0	1	False	0		False
F215637	Dimargaris cristalligena	2	1	1	True	1	BRF1_detected	False
F223192	Phaeoacremonium minimum	2	1	1	True	1	BRF1_detected	False
F223376	Phialemonium thermophilum	2	0	2	False	1	BRF1_not_detected	False
F223409	Ptychographa xylographoides	2	1	1	True	1	BRF1_detected	False
F223818	Malassezia japonica	2	1	1	True	1	BRF1_detected	False
F226899	Leptographium clavigerum	2	1	1	True	1	BRF1_detected	False
F2268995	Blastobotrys vanleenenianus	2	1	1	True	1	BRF1_detected	False
F2282107	Pyrrhoderma noxium	2	1	1	True	1	BRF1_detected	False
F2283408	Colletotrichum jinshuiense	2	1	1	True	1	BRF1_detected	False
F230603	Saccharomyces uvarum	2	1	1	True	1	BRF1_detected	False
F231932	Phanerochaete carnosa	2	1	1	True	1	BRF1_detected	False
F235537	Amanita thiersii	2	1	1	True	1	BRF1_detected	False
F236234	Diplodia corticola	2	1	1	True	1	BRF1_detected	False
F241526	Candida africana	1	0	1	False	1	BRF1_not_detected	False
F245174	Wallemia ichthyophaga	2	1	1	True	1	BRF1_detected	False
F2486360	Exophiala viscosa	1	0	1	False	0		False
F2545709	Schizosaccharomyces osmophilus	2	1	1	True	1	BRF1_detected	False
F2562287	Entrophospora sp. SA101	4	1	3	True	1	BRF1_detected	False
F257869	Holtermanniella festucosa	2	1	1	True	1	BRF1_detected	False
F2600213	Serendipita sp. 400	2	1	1	True	1	BRF1_detected	False
F2600215	Serendipita sp. 405	2	1	1	True	1	BRF1_detected	False
F2600216	Serendipita sp. 411	2	1	1	True	1	BRF1_detected	False
F2601811	Elsinoe batatas	2	1	1	True	1	BRF1_detected	False
F2606893	Magnusiomyces paraingens	2	1	1	True	1	BRF1_detected	False
F2609844	Podospora pseudoanserina	2	1	1	True	1	BRF1_detected	False
F263815	Pneumocystis murina	2	1	1	True	1	BRF1_detected	False
F264124	Botryobasidium botryosum	2	1	1	True	1	BRF1_detected	False
F264483	Phaffia rhodozyma	2	1	1	True	1	BRF1_detected	False
F2650707	Coemansia brasiliensis	5	0	5	False	1	BRF1_not_detected	False
F265104	Trichoglossum hirsutum	2	1	1	True	1	BRF1_detected	False
F2656787	Venustampulla echinocandica	2	1	1	True	1	BRF1_detected	False
F269621	Microbotryum intermedium	2	1	1	True	1	BRF1_detected	False
F2704026	Stictis urceolata	2	1	1	True	1	BRF1_detected	False
F2725673	Gonapodya sp. JEL0774	2	0	2	False	1	BRF1_not_detected	False
F27291	Saccharomyces paradoxus	2	1	1	True	1	BRF1_detected	False
F27292	Saccharomyces pastorianus	4	2	2	True	0		True
F2732470	Bacidia gigantensis	2	1	1	True	1	BRF1_not_detected	False
F273283	Sarea resinae	2	1	1	True	1	BRF1_detected	False
F27342	Schizopora paradoxa	2	1	1	True	1	BRF1_detected	False
F2735257	Borealophlyctis nickersoniae	1	1	0	False	1	BRF1_detected	False
F27376	Acaulospora colombiana	2	0	2	False	0		False
F2748771	Athelia sp. TMB	3	2	1	True	0		False
F2754530	Protomyces lactucae-debilis	2	1	1	True	1	BRF1_detected	False
F2767002	Neocallimastix lanati (nom. inval.)	3	2	1	True	0		False
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	2	1	1	True	1	BRF1_not_detected	False
F2781224	Neodothiora populina	2	1	1	True	1	BRF1_detected	False
F279322	Cutaneotrichosporon cavernicola	2	1	1	True	1	BRF1_detected	False
F2796175	Watsoniomyces obsoletus	1	1	0	False	1	BRF1_detected	False
F280036	Sporisorium graminicola	2	1	1	True	1	BRF1_detected	False
F2813651	Orbilia oligospora	2	1	1	True	1	BRF1_detected	False
F281847	Rozella allomycis	2	1	1	True	1	BRF1_detected	False
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	2	1	1	True	1	BRF1_detected	False
F2831993	Plicatura crispa	3	2	1	True	0		False
F2834505	Sertulicium niveocremeum	2	1	1	True	1	BRF1_detected	False
F28583	Allomyces macrogynus	4	1	3	True	1	BRF1_detected	False
F2871812	Acarospora aff. strigata	2	1	1	True	1	BRF1_detected	False
F2878321	Jaminaea pallidilutea	2	1	1	True	1	BRF1_detected	False
F288795	Microbotryum lychnidis-dioicae	2	1	1	True	1	BRF1_detected	False
F289078	Microbotryum saponariae	2	1	1	True	1	BRF1_detected	False
F291195	Tubulinosema ratisbonensis	2	1	1	True	1	BRF1_detected	False
F2918522	Lignoscripta atroalba	2	1	1	True	1	BRF1_detected	False
F293227	Cyphellophora europaea	1	0	1	False	0		False
F2939399	Claussenomyces sp. TS43310	2	1	1	True	1	BRF1_detected	False
F2939400	Chrysothrix sp. TS-e1954	2	1	1	True	1	BRF1_not_detected	False
